enterprise_nbr, naics_id_primary, naics_name_primary, naics_id_list, naics_name_list
1896787,515120,Television Broadcasting,|334220|515120|,|Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing|Television Broadcasting|
1900356,611310,"Colleges, Universities, and Professional Schools",|611310|,"|Colleges, Universities, and Professional Schools|"
1896826,515120,Television Broadcasting,|515120|,|Television Broadcasting|
621844,813211,Grantmaking Foundations,|813211|,|Grantmaking Foundations|
1896489,611310,"Colleges, Universities, and Professional Schools",|611310|,"|Colleges, Universities, and Professional Schools|"
1898046,622110,General Medical and Surgical Hospitals,|622110|,|General Medical and Surgical Hospitals|
625297,611310,"Colleges, Universities, and Professional Schools",|611310|,"|Colleges, Universities, and Professional Schools|"
1896316,722110,Full-Service Restaurants,|722110|,|Full-Service Restaurants|
1898886,311999,All Other Miscellaneous Food Manufacturing,|311999|,|All Other Miscellaneous Food Manufacturing|
1896426,611310,"Colleges, Universities, and Professional Schools",|611310|,"|Colleges, Universities, and Professional Schools|"
1899656,522310,Mortgage and Nonmortgage Loan Brokers,|522310|,|Mortgage and Nonmortgage Loan Brokers|
1893896,541199,All Other Legal Services,|541199|,|All Other Legal Services|
1896686,611310,"Colleges, Universities, and Professional Schools",|611310|,"|Colleges, Universities, and Professional Schools|"
1898206,622110,General Medical and Surgical Hospitals,|622110|,|General Medical and Surgical Hospitals|
1898736,722110,Full-Service Restaurants,|722110|,|Full-Service Restaurants|
1898187,339112,Surgical and Medical Instrument Manufacturing,|339112|,|Surgical and Medical Instrument Manufacturing|
604120,611310,"Colleges, Universities, and Professional Schools",|611310|,"|Colleges, Universities, and Professional Schools|"
1893986,512230,Music Publishers,|512230|,|Music Publishers|
87457,511140,Database and Directory Publishers,|511199|511130|511140|,|All Other Publishers|Book Publishers|Database and Directory Publishers|
1894876,511210,Software Publishers,|511210|,|Software Publishers|
1894926,551112,Offices of Other Holding Companies,|551112|,|Offices of Other Holding Companies|
48720,339111,Laboratory Apparatus and Furniture Manufacturing,|339111|,|Laboratory Apparatus and Furniture Manufacturing|
56425,722110,Full-Service Restaurants,|722211|722110|,|Fast Food Restaurants|Full-Service Restaurants|
1895596,326211,Tire Manufacturing (except Retreading),|326211|,|Tire Manufacturing (except Retreading)|
9805,541110,Offices of Lawyers,|541110|,|Offices of Lawyers|
25277,325611,Soap and Other Detergent Manufacturing,|325181|325611|,|Alkalies and Chlorine Manufacturing|Soap and Other Detergent Manufacturing|
235494,334119,Other Computer Peripheral Equipment Manufacturing,|541512|334119|334418|,|Computer Systems Design Services|Other Computer Peripheral Equipment Manufacturing|Printed Circuit Assembly (Electronic Assembly) Manufacturing|
20052,623311,Continuing Care Retirement Communities,|623311|623312|623110|623990|623220|623210|,|Continuing Care Retirement Communities|Homes for the Elderly|Nursing Care Facilities|Other Residential Care Facilities|Residential Mental Health and Substance Abuse Facilities|Residential Mental Retardation Facilities|
40236,336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing,|336415|541710|,"|Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing|Research and Development in the Physical, Engineering, and Life Sciences|"
26071,517110,Wired Telecommunications Carriers,|517510|515210|518111|517310|517110|,|Cable and Other Program Distribution|Cable and Other Subscription Programming|Internet Service Providers|Telecommunications Resellers|Wired Telecommunications Carriers|
471372,623110,Nursing Care Facilities,|623110|,|Nursing Care Facilities|
